id,ok,expected_pipeline,actual_pipeline,question,answer,sources
1,True,SYSTEM,SYSTEM,hi,"Hello! Welcome to Toyota Cambodia. I'm here to help you.

You can ask me about:
• Price & specs of any Toyota model
• Features (CarPlay, 360 camera, airbags, seats)
• Compare two models
• Recommendations based on your budget
• Pre-owned / used listings

What would you like to know?",
2,True,SYSTEM,SYSTEM,hello,"Hello! Welcome to Toyota Cambodia. I'm here to help you.

You can ask me about:
• Price & specs of any Toyota model
• Features (CarPlay, 360 camera, airbags, seats)
• Compare two models
• Recommendations based on your budget
• Pre-owned / used listings

What would you like to know?",
3,True,SYSTEM,SYSTEM,hey,"Hello! Welcome to Toyota Cambodia. I'm here to help you.

You can ask me about:
• Price & specs of any Toyota model
• Features (CarPlay, 360 camera, airbags, seats)
• Compare two models
• Recommendations based on your budget
• Pre-owned / used listings

What would you like to know?",
4,True,SYSTEM,SYSTEM,thanks,You're welcome. What would you like to know about Toyota Cambodia?,
5,True,SYSTEM,SYSTEM,thank you,You're welcome. What would you like to know about Toyota Cambodia?,
6,True,SYSTEM,SYSTEM,bye,"Bye. If you need anything about Toyota models, price, specs, or services, just ask.",
7,True,SYSTEM,SYSTEM,reset,Reset done.,
8,True,SYSTEM,SYSTEM,/reset,Reset done.,
9,False,RAG,SYSTEM,what is toyota cambodia warranty,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
10,False,RAG,SYSTEM,oem warranty how many years,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
11,False,RAG,SYSTEM,warranty period km,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
12,False,RAG,SYSTEM,maintenance and repair services,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
13,False,RAG,SYSTEM,servicing package 3 years discount,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
14,False,RAG,SYSTEM,what is included in servicing package,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
15,False,RAG,SYSTEM,about toyota cambodia,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
16,False,RAG,SYSTEM,who is toyota cambodia dealer,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
17,False,RAG,SYSTEM,service center information,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
18,False,RAG,SYSTEM,does warranty transfer to new owner,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
19,False,RAG,SYSTEM,toyota cambodia oem warranty coverage,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
20,False,RAG,SYSTEM,toyota warranty covered parts,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
21,False,RAG,SYSTEM,toyota warranty not cover what,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
22,False,RAG,SYSTEM,is paint covered under warranty,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
23,False,RAG,SYSTEM,is battery covered under warranty,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
24,False,RAG,SYSTEM,warranty for hybrid system,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
25,False,RAG,SYSTEM,warranty for tires covered or not,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
26,False,RAG,SYSTEM,warranty if i service outside toyota,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
27,False,RAG,SYSTEM,warranty if modify car,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
28,False,RAG,SYSTEM,warranty if flood damage,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
29,False,RAG,SYSTEM,warranty terms and conditions,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
30,False,RAG,SYSTEM,how to claim warranty toyota cambodia,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
31,False,RAG,SYSTEM,what documents needed for warranty claim,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
32,False,RAG,SYSTEM,where can i read oem warranty policy,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
33,False,RAG,SYSTEM,does toyota cambodia warranty apply nationwide,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
34,False,RAG,SYSTEM,does warranty follow the car or owner,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
35,False,RAG,SYSTEM,warranty transfer to second owner,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
36,False,RAG,SYSTEM,warranty for pre owned toyota,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
37,False,RAG,SYSTEM,toyota cambodia service interval 5000 km,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
38,False,RAG,SYSTEM,service interval every how many months,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
39,False,RAG,SYSTEM,periodic maintenance schedule,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
40,False,RAG,SYSTEM,what is service a service b service c,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
41,False,RAG,SYSTEM,service a price,Which Toyota model price do you want?,
42,False,RAG,SYSTEM,service b price,Which Toyota model price do you want?,
43,False,RAG,SYSTEM,service c price,Which Toyota model price do you want?,
