id,section,turn_group,user_text,expected_pipeline,actual_pipeline,pipeline_pass,technique,remark,answer_text,sources,sources_count,rewrite_used,answer_len,agent_score,agent_notes,has_refusal,has_question_back,has_numbers,has_sources_line
1,A) System & small talk,sys1,hello,SYSTEM,SYSTEM,True,system,small talk response,"Hi! Tell me what you want to know (price, specs, features, compare, or recommendation).
[PIPELINE=SYSTEM]",,0,False,105,10,,False,False,False,False
2,A) System & small talk,sys1,thanks,SYSTEM,SYSTEM,True,system,small talk response,"Hi! Tell me what you want to know (price, specs, features, compare, or recommendation).
[PIPELINE=SYSTEM]",,0,False,105,10,,False,False,False,False
3,A) System & small talk,sys1,/reset,SYSTEM,SYSTEM,True,system,reset state,"Reset done.
[PIPELINE=SYSTEM]",,0,False,29,10,,False,False,False,False
4,B) CSV structured,csv1,price of Yaris Cross HEV,CSV_METHOD,CSV_METHOD,True,structured-price,price from CSV + url,"Sure — here are the official prices from our dataset:

Yaris Cross HEV — Price (USD): $43,500
Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color,1,False,211,10,,False,False,True,True
5,B) CSV structured,csv1,specs of Fortuner Legender,CSV_METHOD,CSV_METHOD,True,structured-specs,specs list from CSV,"Fortuner Legender — key specifications (official data):
- Price (USD): $65,500
- Seats: 7
- Fuel: diesel
- Body type: SUV
Sources: https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,1,False,235,10,,False,False,True,True
6,B) CSV structured,csv1,summary of Raize,CSV_METHOD,CSV_METHOD,True,structured-summary,summary from CSV function,"Thanks. I don’t have a summary captured for Raize in the current dataset yet.
Sources: https://www.toyota.com.kh/en/models/raize/raize.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/raize/raize.html#specifications,1,False,176,8,refusal without asking clarifying info/next step,True,False,False,True
7,B) CSV structured,csv1,what is the transmission of Veloz,CSV_METHOD,CSV_METHOD,True,structured-feature,must stay CSV,"Thanks. I don’t have 'transmission' captured for Veloz in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,1,False,258,8,refusal without asking clarifying info/next step,True,False,False,True
8,B) CSV structured,csv1,fuel tank of Vios,CSV_METHOD,CSV_METHOD,True,structured-feature,must stay CSV,"Thanks. I don’t have 'fuel_tank' captured for Vios in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/vios/vios.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/vios/vios.html#specifications,1,False,232,8,refusal without asking clarifying info/next step,True,False,False,True
9,B) CSV structured,csv1,how many airbags does Raize have,CSV_METHOD,CSV_METHOD,True,structured-feature,must stay CSV,"Thanks. I don’t have 'airbags' captured for Raize in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/raize/raize.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/raize/raize.html#specifications,1,False,233,8,refusal without asking clarifying info/next step,True,False,False,True
10,C) Compare,cmp1,compare Veloz vs Vios,CSV_METHOD,CSV_METHOD,True,compare,side-by-side price/seats/fuel/body,"Here’s a quick comparison (official dataset): Veloz vs Vios
- Price: $35,900 vs $33,900
- Seats: 7 vs 5
- Fuel: gasoline vs gasoline
- Body type: MVP vs Sedan
Sources: https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications, https://www.toyota.com.kh/en/models/vios/vios.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications | https://www.toyota.com.kh/en/models/vios/vios.html#specifications,2,False,344,10,,False,False,True,True
