idx,question,pipeline,ok,reason,answer_preview,answer,sources
1,hello,error,False,exception: TypeError,,,
2,thanks,error,False,exception: TypeError,,,
3,/reset,error,False,exception: TypeError,,,
4,price of yaris cross gasoline,error,False,exception: TypeError,,,
5,how much is fortuner legender,error,False,exception: TypeError,,,
6,starting price of raize,error,False,exception: TypeError,,,
7,specs of fortuner legender,error,False,exception: TypeError,,,
8,show specs for veloz,error,False,exception: TypeError,,,
9,specs?,error,False,exception: TypeError,,,
10,summary of raize,error,False,exception: TypeError,,,
11,give me summary for corolla cross hev,error,False,exception: TypeError,,,
12,summary?,error,False,exception: TypeError,,,
13,does corolla cross have 360 camera,error,False,exception: TypeError,,,
14,does yaris cross have apple carplay,error,False,exception: TypeError,,,
15,what is the transmission of veloz,error,False,exception: TypeError,,,
16,what is the fuel type of land cruiser 250 diesel,error,False,exception: TypeError,,,
17,what is the seat number of hiace 16 seater,error,False,exception: TypeError,,,
18,price of it,error,False,exception: TypeError,,,
19,what about specs,error,False,exception: TypeError,,,
20,does it have 360 camera,error,False,exception: TypeError,,,
21,compare veloz vs vios,error,False,exception: TypeError,,,
22,vios vs raize,error,False,exception: TypeError,,,
23,compare,error,False,exception: TypeError,,,
24,recommend suv,error,False,exception: TypeError,,,
25,i want to buy a new car,error,False,exception: TypeError,,,
26,recommend SUV under $45000 gasoline,error,False,exception: TypeError,,,
27,budget 40000 fuel gasoline body suv,error,False,exception: TypeError,,,
28,budget 35000 body sedan fuel gasoline,error,False,exception: TypeError,,,
29,budget 60000 body suv fuel diesel min seats 7,error,False,exception: TypeError,,,
30,recommend pickup,error,False,exception: TypeError,,,
31,budget 50000,error,False,exception: TypeError,,,
32,diesel,error,False,exception: TypeError,,,
33,pickup,error,False,exception: TypeError,,,
34,recommend suv under 45000 gasoline,error,False,exception: TypeError,,,
35,both,error,False,exception: TypeError,,,
36,Fortuner Legender preowned price year mileage,error,False,exception: TypeError,,,
37,Veloz preowned price,error,False,exception: TypeError,,,
38,Yaris Cross used price,error,False,exception: TypeError,,,
39,pre-owned corolla cross hybrid year mileage,error,False,exception: TypeError,,,
40,show me listings for raize preowned,error,False,exception: TypeError,,,
41,preowned plate number fortuner,error,False,exception: TypeError,,,
42,certified pre-owned veloz 2024 mileage,error,False,exception: TypeError,,,
43,preowned yaris cross,error,False,exception: TypeError,,,
44,used fortuner legender,error,False,exception: TypeError,,,
45,mileage of preowned veloz,error,False,exception: TypeError,,,
46,does raize have sunroof panoramic and ventilated seat,error,False,exception: TypeError,,,
47,what is the 0-100 acceleration of vios,error,False,exception: TypeError,,,
48,tell me the best car in cambodia overall,error,False,exception: TypeError,,,
49,1) price of yaris cross,error,False,exception: TypeError,,,
50,"""specs of    fortuner    legender  """,error,False,exception: TypeError,,,
51,(summary of raize),error,False,exception: TypeError,,,
52,compare    veloz   versus   vios,error,False,exception: TypeError,,,
