id,question,expected_pipeline,actual_pipeline,ok,answer,sources
T001,hi,SYSTEM,SYSTEM,True,"Hello! Welcome to Toyota Cambodia. I'm here to help you.

You can ask me about:
• Price & specs of any Toyota model
• Features (CarPlay, 360 camera, airbags, seats)
• Compare two models
• Recommendations based on your budget
• Pre-owned / used listings

What would you like to know?",
T002,hello,SYSTEM,SYSTEM,True,"Hello! Welcome to Toyota Cambodia. I'm here to help you.

You can ask me about:
• Price & specs of any Toyota model
• Features (CarPlay, 360 camera, airbags, seats)
• Compare two models
• Recommendations based on your budget
• Pre-owned / used listings

What would you like to know?",
T003,hey,SYSTEM,SYSTEM,True,"Hello! Welcome to Toyota Cambodia. I'm here to help you.

You can ask me about:
• Price & specs of any Toyota model
• Features (CarPlay, 360 camera, airbags, seats)
• Compare two models
• Recommendations based on your budget
• Pre-owned / used listings

What would you like to know?",
T004,thanks,SYSTEM,SYSTEM,True,You're welcome. What would you like to know about Toyota Cambodia?,
T005,thank you,SYSTEM,SYSTEM,True,You're welcome. What would you like to know about Toyota Cambodia?,
T006,bye,SYSTEM,SYSTEM,True,"Bye. If you need anything about Toyota models, price, specs, or services, just ask.",
T007,reset,SYSTEM,SYSTEM,True,Reset done.,
T008,/reset,SYSTEM,SYSTEM,True,Reset done.,
T009,what is toyota cambodia warranty,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T010,oem warranty how many years,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T011,warranty period km,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T012,maintenance and repair services,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T013,servicing package 3 years discount,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T014,what is included in servicing package,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T015,about toyota cambodia,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T016,who is toyota cambodia dealer,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T017,service center information,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T018,does warranty transfer to new owner,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T019,toyota cambodia oem warranty coverage,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T020,toyota warranty covered parts,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T021,toyota warranty not cover what,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T022,is paint covered under warranty,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T023,is battery covered under warranty,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T024,warranty for hybrid system,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T025,warranty for tires covered or not,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T026,warranty if i service outside toyota,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T027,warranty if modify car,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T028,warranty if flood damage,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T029,warranty terms and conditions,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T030,how to claim warranty toyota cambodia,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T031,what documents needed for warranty claim,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T032,where can i read oem warranty policy,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T033,does toyota cambodia warranty apply nationwide,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T034,does warranty follow the car or owner,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T035,warranty transfer to second owner,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T036,warranty for pre owned toyota,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T037,toyota cambodia service interval 5000 km,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T038,service interval every how many months,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
