id,section,question,expect_pipeline,actual_pipeline,pass,rewrite_used,elapsed_ms,sources,note,answer_preview
1,A) System,hello,SYSTEM,SYSTEM,True,True,0,,,"Hi! Tell me what you want to know (price, specs, features, compare, or recommendation). [PIPELINE=SYSTEM]"
2,A) System,thanks,SYSTEM,SYSTEM,True,True,0,,,"Hi! Tell me what you want to know (price, specs, features, compare, or recommendation). [PIPELINE=SYSTEM]"
3,A) System,/reset,SYSTEM,SYSTEM,True,True,0,,,Reset done. [PIPELINE=SYSTEM]
4,A) System,  ,SYSTEM,SYSTEM,True,True,0,,empty input should produce system prompt,Please type a question. [PIPELINE=SYSTEM]
5,B) CSV Price,price of yaris cross gasoline,CSV_METHOD,CSV_METHOD,True,False,3,https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications,,"Sure — here are the official prices from our dataset:  YARIS CROSS GASOLINE — Price (USD): $37,500 Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications [PIPELINE=CS"
6,B) CSV Price,how much is fortuner legender,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,,"Sure — here are the official prices from our dataset:  Fortuner Legender — Price (USD): $65,500 Sources: https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications [PIPELINE=CSV_METHOD]"
7,B) CSV Price,starting price of raize,CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/raize/raize.html#specifications,,"Sure — here are the official prices from our dataset:  Raize — Price (USD): $26,800 Sources: https://www.toyota.com.kh/en/models/raize/raize.html#specifications [PIPELINE=CSV_METHOD]"
8,B) CSV Price,price of veloz,CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,,"Sure — here are the official prices from our dataset:  Veloz — Price (USD): $35,900 Sources: https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications [PIPELINE=CSV_METHOD]"
9,B) CSV Price,how much is vios,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/vios/vios.html#specifications,,"Sure — here are the official prices from our dataset:  Vios — Price (USD): $33,900 Sources: https://www.toyota.com.kh/en/models/vios/vios.html#specifications [PIPELINE=CSV_METHOD]"
10,C) CSV Specs,specs of fortuner legender,CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,,"Fortuner Legender — key specifications (official data): - Price (USD): $65,500 - Seats: 7 - Fuel: diesel - Body type: SUV - Engine type: 2.8 L, 4-cylinder diesel, in-line, 16-valve DOHC - Transmission: 6-speed automatic "
11,C) CSV Specs,show specs for veloz,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,,"Veloz — key specifications (official data): - Price (USD): $35,900 - Seats: 7 - Fuel: gasoline - Body type: MVP - Engine type: 1.5 L, 4-cylinder gasoline, in-line, 16-valve DOHC Chain Drive with Dual VVT-i - Displacement"
12,C) CSV Specs,tell me the specs of raize,CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/raize/raize.html#specifications,,"Raize — key specifications (official data): - Price (USD): $26,800 - Seats: 5 - Fuel: gasoline - Body type: SUV - Engine type: 1.0 L, 3-cylinder gasoline, in-line, 12-valve DOHC, DVVT - Transmission: 7-speed CVT - Displa"
13,C) CSV Specs,specs?,SYSTEM,CSV_METHOD,False,False,2,https://www.toyota.com.kh/en/models/raize/raize.html#specifications,should ask model (do not use last_model),"Raize — key specifications (official data): - Price (USD): $26,800 - Seats: 5 - Fuel: gasoline - Body type: SUV - Engine type: 1.0 L, 3-cylinder gasoline, in-line, 12-valve DOHC, DVVT - Transmission: 7-speed CVT - Displa"
14,D) CSV Summary,summary of raize,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/raize/raize.html#specifications,,"Raize — Safety systems (official CSV): - ABS: Yes - Vehicle Stability Control (VSC): Yes - SRS Airbags: 6 (1 driver, 1 front passenger, 2 side, 2 curtain shield) - Blind Spot Monitor (BSM): Yes - Reverse Camera: Yes - Pa"
15,D) CSV Summary,give me summary for corolla cross hev,CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html,,"Corolla Cross HEV — Safety systems (official CSV): - ABS: Yes - Vehicle Stability Control (VSC): Yes - SRS Airbags: 7 (1 driver,1 knee, 1 front passenger, 2 side, 2 curtain shield) - Blind Spot Monitor (BSM): Yes - Rever"
16,D) CSV Summary,summary?,SYSTEM,CSV_METHOD,False,False,1,https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html,should ask model (do not use last_model),"Corolla Cross HEV — Safety systems (official CSV): - ABS: Yes - Vehicle Stability Control (VSC): Yes - SRS Airbags: 7 (1 driver,1 knee, 1 front passenger, 2 side, 2 curtain shield) - Blind Spot Monitor (BSM): Yes - Rever"
17,E) CSV Feature,does corolla cross have 360 camera,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications,,No — COROLLA CROSS GASOLINE does not list 360° surround-view camera in the official specifications we captured. Sources: https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specificat
18,E) CSV Feature,does yaris cross have apple carplay,CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications,,Yes — YARIS CROSS GASOLINE has Apple CarPlay / Android Auto (official specification). Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications [PIPELINE=CSV_METHOD]
19,E) CSV Feature,turning radius of veloz,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,,Veloz — Minimum turning radius: 5.0 m Sources: https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications [PIPELINE=CSV_METHOD]
20,E) CSV Feature,what is the transmission of veloz,CSV_METHOD,RAG,False,True,3069,https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,,The transmission of a Toyota Veloz is a Continuously Variable Transmission (CVT). Sources: https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications [PIPELINE=RAG]
21,E) CSV Feature,what is the fuel type of vios,CSV_METHOD,RAG,False,True,1337,https://www.toyota.com.kh/en/models/vios/vios.html#specifications,,The fuel type of Toyota Vios is gasoline. Sources: https://www.toyota.com.kh/en/models/vios/vios.html#specifications [PIPELINE=RAG]
22,E) CSV Feature,how many seats does fortuner legender have,CSV_METHOD,RAG,False,True,971,https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,,The Toyota Fortuner Legender has a seating capacity of 7 passengers. Sources: https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications [PIPELINE=RAG]
23,F) Follow-up Resolution,price of yaris cross gasoline,CSV_METHOD,CSV_METHOD,True,False,3,https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications,set last_model,"Sure — here are the official prices from our dataset:  YARIS CROSS GASOLINE — Price (USD): $37,500 Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications [PIPELINE=CS"
24,F) Follow-up Resolution,price of it,CSV_METHOD,SYSTEM,False,True,10,,should use last_model,Sure — which model are you asking about? [PIPELINE=SYSTEM]
25,F) Follow-up Resolution,what about specs,CSV_METHOD,SYSTEM,False,True,1,,should use last_model,Sure — which model are you asking about? [PIPELINE=SYSTEM]
26,F) Follow-up Resolution,does it have 360 camera,CSV_METHOD,SYSTEM,False,True,1,,should use last_model,Sure — which model are you asking about? [PIPELINE=SYSTEM]
27,G) Compare,compare veloz vs vios,CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,,"Sure — here are the official prices from our dataset:  Veloz — Price (USD): $35,900 Sources: https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications [PIPELINE=CSV_METHOD]"
28,G) Compare,vios vs raize,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/vios/vios.html#specifications | https://www.toyota.com.kh/en/models/raize/raize.html#specifications,,"Here’s a quick comparison (official dataset): Vios vs Raize - Price: $33,900 vs $26,800 - Seats: 5 vs 5 - Fuel: gasoline vs gasoline - Body type: Sedan vs SUV Sources: https://www.toyota.com.kh/en/models/vios/vios.html#s"
29,G) Compare,compare,SYSTEM,SYSTEM,True,True,2,,should ask for 2 models,Sure — which two models would you like to compare? Example: compare A vs B [PIPELINE=SYSTEM]
30,G) Compare,compare yaris cross and corolla cross,CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications | https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications,,"Here’s a quick comparison (official dataset): YARIS CROSS GASOLINE vs COROLLA CROSS GASOLINE - Price: $37,500 vs $47,900 - Seats: N/A vs 5 - Fuel: gasoline vs gasoline - Body type: SUV vs SUV Sources: https://www.toyota."
31,G) Compare,compare vios versus yaris cross gasoline,CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/vios/vios.html#specifications | https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications,,"Here’s a quick comparison (official dataset): Vios vs YARIS CROSS GASOLINE - Price: $33,900 vs $37,500 - Seats: 5 vs N/A - Fuel: gasoline vs gasoline - Body type: Sedan vs SUV Sources: https://www.toyota.com.kh/en/models"
