id,question,expected_pipeline,actual_pipeline,ok,answer,sources,remarks
Q001,hello,,SYSTEM,True,"Hello! Welcome to Toyota Cambodia. I'm here to help you.

You can ask me about:
• Price & specs of any Toyota model
• Features (CarPlay, 360 camera, airbags, seats)
• Compare two models
• Recommendations based on your budget
• Pre-owned / used listings

What would you like to know?",,
Q002,thanks,,SYSTEM,True,You're welcome. What would you like to know about Toyota Cambodia?,,
Q003,/reset,,SYSTEM,True,Reset done.,,
Q004,price of yaris cross gasoline,,CSV_METHOD,True,"The **YARIS CROSS GASOLINE** is priced at **$37,500** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications,
Q005,how much is fortuner legender,,CSV_METHOD,True,"The **Fortuner Legender** is priced at **$65,500** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,
Q006,starting price of raize,,CSV_METHOD,True,"The **Raize** is priced at **$26,800** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/raize/raize.html#specifications,
Q007,specs of fortuner legender,,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Fortuner Legender**:

**Price:** $65,500
**Seats:** 7.0
**Fuel:** Diesel
**Body type:** SUV
**Transmission:** 6-speed automatic
**Engine:** 2.8 L, 4-cylinder diesel, in-line, 16-valve DOHC",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,
Q008,show specs for veloz,,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Veloz**:

**Price:** $35,900
**Seats:** 7.0
**Fuel:** Gasoline
**Body type:** MVP
**Transmission:** CVT
**Engine:** 1.5 L, 4-cylinder gasoline, in-line, 16-valve DOHC Chain Drive with Dual VVT-i",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,
Q009,specs?,,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Veloz**:

**Price:** $35,900
**Seats:** 7.0
**Fuel:** Gasoline
**Body type:** MVP
**Transmission:** CVT
**Engine:** 1.5 L, 4-cylinder gasoline, in-line, 16-valve DOHC Chain Drive with Dual VVT-i",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,
Q010,summary of raize,,CSV_METHOD,True,"Sure! Here's a quick overview of the **Raize**:

The Raize is a Gasoline-powered SUV priced at **$26,800**. It seats up to **5.0 passengers** and comes with a **7-speed CVT** transmission.",https://www.toyota.com.kh/en/models/raize/raize.html#specifications,
Q011,give me summary for corolla cross hev,,CSV_METHOD,True,"Sure! Here's a quick overview of the **Corolla Cross HEV**:

The Corolla Cross HEV is a Hybrid-powered SUV priced at **$49,900**. It seats up to **5.0 passengers** and comes with a **7-speed CVT** transmission.",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html,
Q012,summary?,,CSV_METHOD,True,"Sure! Here's a quick overview of the **Corolla Cross HEV**:

The Corolla Cross HEV is a Hybrid-powered SUV priced at **$49,900**. It seats up to **5.0 passengers** and comes with a **7-speed CVT** transmission.",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html,
Q013,does corolla cross have 360 camera,,CSV_METHOD,True,Yes. The **COROLLA CROSS GASOLINE** includes **360° Panoramic View Monitor**.,https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications,
Q014,does yaris cross have apple carplay,,CSV_METHOD,True,Thanks. I don’t have that feature captured in the current dataset yet.,https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color,
Q015,what is the transmission of veloz,,CSV_METHOD,True,The **Veloz** has **Transmission**: **CVT**.,https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,
